cliente_id,edad,segmento_edad,cantidad_compras,gasto_total,gasto_total_normalizado,ticket_promedio,nivel_gasto,ciudad,categoria,categoria_codigo,canal_origen,estado_cliente
1,56.0,Senior,14,89654.0,0.28966607559924484,6403.857142857143,Bajo,Santiago,Bronce,1,Web,Activo
2,46.0,Adulto,6,72435.0,0.2279088551081424,12072.5,Bajo,Valparaíso,Plata,2,App,Activo
3,32.0,Adulto,2,169314.0,0.5753725733239222,84657.0,Medio,Concepción,Oro,3,Web,Inactivo
4,60.0,Senior,12,278538.0,0.967112549566455,23211.5,Alto,La Serena,Bronce,1,Marketplace,Activo
5,25.0,Joven,5,8890.0,0.0,1778.0,Bajo,Desconocida,Plata,2,App,Activo
6,38.0,Adulto,1,46606.0,0.1352712310844079,46606.0,Bajo,Desconocida,Oro,3,Desconocido,Desconocido
7,56.0,Senior,12,261840.0,0.9072239342136221,21820.0,Alto,Santiago,Bronce,1,Desconocido,Desconocido
8,36.0,Adulto,10,146699.0,0.494262198656039,14669.9,Medio,Rancagua,Bronce,1,Desconocido,Desconocido
9,40.0,Adulto,6,275936.0,0.9577802835975922,45989.333333333336,Alto,Talca,Plata,2,Desconocido,Desconocido
10,28.0,Joven,13,244931.0,0.8465785517126609,18840.846153846152,Alto,Iquique,Oro,3,Desconocido,Desconocido
11,28.0,Joven,12,244629.0,0.8454954063158137,20385.75,Alto,Antofagasta,Bronce,1,Desconocido,Desconocido
12,41.0,Adulto,9,210041.0,0.721442979209347,23337.88888888889,Alto,Puerto Montt,Plata,2,Desconocido,Desconocido
13,53.0,Senior,1,179073.0,0.6103739505684003,179073.0,Medio,Desconocida,Bronce,1,Web,Inactivo
14,57.0,Senior,11,212624.0,0.7307071002691365,19329.454545454544,Alto,Desconocida,Bronce,1,App,Activo
15,41.0,Adulto,11,73148.0,0.2304660824854672,6649.818181818182,Bajo,Desconocida,Bronce,1,Web,Activo
16,20.0,Joven,10,257801.0,0.8927377611743306,25780.1,Alto,Desconocida,Bronce,1,Marketplace,Inactivo
17,39.0,Adulto,12,129243.0,0.43165496008860277,10770.25,Medio,Desconocida,Bronce,1,App,Activo
18,19.0,Joven,12,256995.0,0.8898469823999633,21416.25,Alto,Desconocida,Bronce,1,Desconocido,Desconocido
19,41.0,Adulto,14,159555.0,0.5403711960794441,11396.785714285714,Medio,Desconocida,Bronce,1,Desconocido,Desconocido
20,61.0,Senior,14,53555.0,0.16019433493438004,3825.3571428571427,Bajo,Desconocida,Bronce,1,Desconocido,Desconocido
18,33.0,Adulto,3,40000.0,0.11157832217191455,13333.333333333334,Bajo,Arica,Bronce,1,Web,Activo
19,39.5,Adulto,11,287707.6,1.0,26155.236363636363,Alto,Santiago,Oro,3,App,Activo
20,61.0,Senior,5,287707.6,1.0,57541.52,Alto,Concepción,Plata,2,Marketplace,Inactivo
21,29.0,Joven,4,85000.0,0.2729741594504795,21250.0,Bajo,Talca,Bronce,1,Web,Activo
