cliente_id,edad,visitas_web,compras_realizadas,monto_compra,devoluciones,resena_score,categoria_favorita,canal_origen,cliente_frecuente
1,56,32,11,42909.0,2,2.0,Deportes,Email,Sí
2,69,59,0,180924.0,1,2.0,Deportes,Redes Sociales,Sí
3,46,55,0,114846.0,2,3.0,Moda,Publicidad,Sí
4,32,9,12,175702.0,0,5.0,Deportes,Redes Sociales,No
5,60,41,2,48251.0,2,5.0,Tecnología,Email,No
6,25,35,10,93028.0,0,2.0,Moda,Redes Sociales,No
7,38,19,4,120236.0,2,3.0,Tecnología,Publicidad,No
8,56,48,11,122114.0,3,3.0,Tecnología,Orgánico,No
9,36,16,2,249367.5,0,4.0,Tecnología,Redes Sociales,Sí
10,40,3,0,148028.0,2,5.0,Tecnología,Redes Sociales,Sí
11,28,20,0,71957.0,3,1.0,Moda,Publicidad,No
12,28,24,7,113593.0,0,5.0,Tecnología,Publicidad,No
13,41,54,9,125413.0,3,5.0,Tecnología,Redes Sociales,Sí
14,53,56,10,143150.0,1,4.0,Deportes,Email,No
15,57,33,11,152023.0,1,1.0,Moda,Redes Sociales,No
16,41,24,12,69391.0,0,4.0,Moda,Publicidad,Sí
17,20,52,12,50965.0,2,1.0,Hogar,Orgánico,No
18,39,11,11,177495.0,0,2.0,Moda,Orgánico,No
19,19,49,14,134954.0,3,1.0,Moda,Email,No
20,41,8,13,86318.0,2,4.0,Hogar,Redes Sociales,No
21,61,36,1,189802.0,1,5.0,Moda,Orgánico,Sí
22,47,38,12,125205.0,2,1.0,Moda,Redes Sociales,No
23,55,40,2,173068.0,1,1.0,Moda,Publicidad,No
24,19,20,1,123038.0,2,3.0,Moda,Orgánico,No
25,38,35,2,212734.0,2,5.0,Hogar,Email,No
26,50,48,6,198990.0,2,2.0,Moda,Publicidad,Sí
27,29,25,0,108797.0,3,4.0,Moda,Email,No
28,39,35,9,163721.0,3,2.0,Hogar,Publicidad,Sí
29,61,25,7,149042.0,0,5.0,Deportes,Orgánico,No
30,42,29,12,181588.0,0,1.0,Tecnología,Email,No
31,66,18,9,76578.0,1,1.0,Deportes,Email,Sí
32,44,46,9,150872.0,3,5.0,Hogar,Publicidad,No
33,59,18,9,167629.0,1,1.0,Tecnología,Email,Sí
34,45,2,13,40857.0,0,1.0,Hogar,Publicidad,Sí
35,33,54,1,66753.0,1,1.0,Hogar,Publicidad,No
36,32,35,2,28235.0,0,4.0,Moda,Publicidad,No
37,64,16,8,118527.5,3,4.0,Tecnología,Publicidad,No
38,68,41,6,152289.0,2,3.0,Moda,Orgánico,No
39,61,36,3,187606.0,3,2.0,Tecnología,Publicidad,Sí
40,69,33,9,123334.0,1,5.0,Hogar,Redes Sociales,No
41,20,4,4,193288.0,1,5.0,Hogar,Email,Sí
42,54,33,1,57895.0,3,5.0,Deportes,Redes Sociales,No
43,68,14,12,43348.0,3,3.0,Tecnología,Orgánico,No
44,24,21,10,117500.0,0,4.0,Moda,Redes Sociales,No
45,38,48,12,137283.0,1,3.0,Deportes,Email,Sí
46,26,20,7,118529.0,1,5.0,Deportes,Redes Sociales,No
47,56,56,3,26965.0,3,2.0,Deportes,Orgánico,No
48,35,8,8,115990.0,2,1.0,Moda,Publicidad,No
49,21,7,4,61299.0,1,4.0,Deportes,Redes Sociales,Sí
50,42,3,12,150135.0,2,4.0,Moda,Orgánico,Sí
51,31,17,8,136497.0,3,3.0,Deportes,Orgánico,No
52,67,33,3,194262.5,3,4.0,Moda,Email,No
53,26,48,9,96876.0,0,5.0,Hogar,Email,No
54,43,12,4,72335.0,1,5.0,Hogar,Redes Sociales,Sí
55,19,59,8,117179.0,2,3.0,Hogar,Publicidad,No
56,37,51,7,162981.0,0,5.0,Hogar,Orgánico,Sí
57,45,22,2,75642.0,1,2.0,Hogar,Redes Sociales,No
58,64,55,0,142682.0,0,5.0,Deportes,Orgánico,No
59,24,22,2,96138.0,3,2.0,Deportes,Orgánico,Sí
60,61,46,3,84321.0,1,5.0,Deportes,Publicidad,No
61,25,30,1,115184.0,0,2.0,Moda,Publicidad,Sí
62,64,38,0,73414.0,0,1.0,Moda,Redes Sociales,Sí
63,52,38,6,95086.0,2,1.0,Moda,Publicidad,No
64,31,45,7,66095.0,0,2.0,Moda,Publicidad,No
65,34,51,6,208413.0,1,3.0,Hogar,Redes Sociales,No
66,53,54,13,121587.0,1,5.0,Hogar,Publicidad,No
67,67,8,4,88512.0,2,5.0,Hogar,Email,Sí
68,57,27,11,129629.0,1,1.0,Tecnología,Orgánico,Sí
69,21,27,0,114945.0,3,1.0,Deportes,Orgánico,Sí
70,19,34,6,110056.0,1,3.0,Moda,Orgánico,Sí
71,23,21,12,147638.0,1,4.0,Moda,Orgánico,Sí
72,59,30,6,154088.0,0,2.0,Hogar,Redes Sociales,No
73,21,33,8,96127.0,0,1.0,Moda,Orgánico,Sí
74,46,28,2,94088.0,1,5.0,Moda,Orgánico,Sí
75,35,47,8,107623.0,2,3.0,Deportes,Orgánico,No
76,43,33,13,16414.0,0,2.0,Hogar,Orgánico,No
77,61,5,0,51816.0,2,3.0,Deportes,Email,Sí
78,51,48,0,181509.0,1,2.0,Tecnología,Orgánico,No
79,27,19,13,118527.5,1,2.0,Tecnología,Email,No
80,53,4,3,108793.0,3,1.0,Tecnología,Redes Sociales,Sí
81,31,35,8,145945.0,0,3.0,Hogar,Publicidad,No
82,48,49,5,134006.0,1,3.0,Moda,Orgánico,No
83,65,17,12,258550.0,3,5.0,Hogar,Publicidad,No
84,32,44,10,170381.0,0,5.0,Hogar,Publicidad,No
85,25,28,2,114244.0,1,1.0,Moda,Redes Sociales,No
86,31,30,0,77001.0,1,1.0,Deportes,Publicidad,No
87,40,29,3,47710.0,0,4.0,Tecnología,Email,No
88,57,46,11,129156.0,0,5.0,Deportes,Publicidad,No
89,38,53,12,85964.0,0,2.0,Tecnología,Publicidad,No
90,33,6,8,55999.0,1,3.0,Hogar,Publicidad,No
91,62,35,2,90904.0,1,1.0,Tecnología,Orgánico,No
92,35,41,11,71330.0,3,3.0,Hogar,Orgánico,Sí
93,64,37,8,195921.0,2,3.0,Deportes,Email,Sí
94,41,24,6,159674.0,0,4.0,Hogar,Email,No
95,43,29,11,119641.0,1,5.0,Deportes,Orgánico,Sí
96,42,49,13,186597.0,1,1.0,Moda,Email,Sí
97,62,46,14,123482.0,0,3.0,Moda,Orgánico,Sí
98,58,53,3,81242.0,2,1.0,Moda,Redes Sociales,Sí
99,46,31,2,188541.0,0,2.0,Hogar,Publicidad,No
100,32,35,9,144251.0,2,4.0,Moda,Publicidad,No
101,62,33,14,73324.0,1,2.0,Tecnología,Email,No
102,18,52,4,111435.0,2,1.0,Deportes,Orgánico,No
103,42,21,4,80597.0,3,1.0,Deportes,Orgánico,No
104,24,32,2,57774.0,1,5.0,Tecnología,Email,Sí
105,26,23,11,161678.0,3,3.0,Hogar,Orgánico,No
106,41,33,8,205924.0,0,3.0,Hogar,Redes Sociales,Sí
107,18,3,3,57064.0,0,2.0,Deportes,Publicidad,No
108,61,18,10,145334.0,0,4.0,Moda,Email,No
109,25,25,4,90721.0,2,3.0,Hogar,Email,Sí
110,41,42,3,98079.0,1,5.0,Hogar,Orgánico,No
111,28,31,4,93342.0,0,2.0,Tecnología,Email,No
112,68,54,6,81120.0,0,2.0,Tecnología,Redes Sociales,No
113,34,58,8,122183.0,1,5.0,Moda,Orgánico,Sí
114,25,3,6,82607.0,0,4.0,Hogar,Orgánico,No
115,52,40,12,132171.0,3,5.0,Hogar,Orgánico,No
116,52,46,4,117739.0,1,4.0,Tecnología,Orgánico,Sí
117,50,24,9,109247.0,1,5.0,Hogar,Redes Sociales,Sí
118,22,50,9,79160.0,1,5.0,Deportes,Orgánico,No
119,59,32,6,94045.0,3,1.0,Tecnología,Email,Sí
120,56,47,13,153993.0,1,2.0,Moda,Redes Sociales,No
121,58,22,14,142541.0,3,5.0,Tecnología,Publicidad,No
122,45,23,9,76010.0,1,5.0,Hogar,Publicidad,No
