,cliente_id,edad,visitas_web,compras_realizadas,monto_compra,devoluciones,resena_score,categoria_favorita,canal_origen,cliente_frecuente
count,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300,300,300
unique,,,,,,,,4,4,2
top,,,,,,,,Moda,Orgánico,No
freq,,,,,,,,81,80,186
mean,150.5,43.32,31.64,7.033333333333333,122900.13,1.4033333333333333,3.08,,,
std,86.74675786448736,15.326685583318387,16.55992664743905,4.329129253000674,55305.907821494366,1.0883952574057674,1.4447228385637012,,,
min,1.0,18.0,1.0,0.0,5000.0,0.0,1.0,,,
25%,75.75,30.0,19.0,3.0,89764.5,0.0,2.0,,,
50%,150.5,43.5,32.0,7.0,118527.5,1.0,3.0,,,
75%,225.25,56.0,46.25,11.0,151495.0,2.0,4.0,,,
max,300.0,69.0,59.0,14.0,508007.5,3.0,5.0,,,
