id_estudiante,sexo,horas_sueno,actividad_fisica_dias,porciones_frutas_verduras,comida_rapida_dias,nivel_estres,desayuna_diario
1,Femenino,7.78,6,5,2,5,Sí
2,Masculino,7.63,2,5,1,5,No
3,Femenino,6.57,3,1,1,9,No
4,Femenino,6.11,5,4,2,10,Sí
5,Femenino,5.14,4,3,5,2,Sí
6,Masculino,8.01,4,2,2,2,Sí
7,Femenino,6.6,4,2,3,6,No
8,Femenino,6.35,3,2,2,9,Sí
9,Femenino,8.1,2,6,2,1,No
10,Masculino,5.81,4,4,5,9,Sí
11,Femenino,7.72,4,1,4,9,No
12,Femenino,7.13,5,1,2,9,Sí
13,Femenino,5.66,5,1,0,5,Sí
14,Femenino,6.72,3,5,3,9,No
15,Masculino,7.87,3,3,2,4,No
16,Femenino,7.68,4,1,3,2,No
17,Masculino,8.44,4,3,1,6,Sí
18,Masculino,7.17,4,6,1,4,Sí
19,Masculino,10.0,4,2,5,6,No
20,Femenino,5.79,5,5,3,3,Sí
21,Masculino,6.36,3,2,4,6,Sí
22,Femenino,6.73,3,1,2,2,Sí
23,Masculino,5.24,1,7,1,2,Sí
24,Masculino,7.95,3,8,1,9,No
25,Masculino,7.79,1,0,0,7,Sí
26,Masculino,6.82,3,3,0,3,Sí
27,Masculino,6.21,3,6,3,1,Sí
28,Masculino,5.16,2,1,3,8,Sí
29,Masculino,5.93,3,9,4,6,Sí
30,Masculino,7.62,1,3,2,7,Sí
31,Femenino,6.57,1,3,4,9,Sí
32,Femenino,6.33,4,6,1,5,No
33,Masculino,7.35,3,2,2,1,Sí
34,Masculino,8.07,2,0,0,10,Sí
35,Masculino,7.08,3,4,5,7,No
36,Femenino,7.15,4,0,2,5,No
37,Masculino,8.31,2,3,2,3,Sí
38,Femenino,6.99,4,5,3,9,Sí
39,Femenino,6.46,1,5,2,1,Sí
40,Femenino,7.54,1,4,6,1,No
41,Femenino,6.52,3,1,2,1,No
42,Femenino,6.4,3,1,2,3,No
43,Masculino,8.2,4,1,2,6,Sí
44,Masculino,6.48,4,2,3,10,No
45,Masculino,3.88,6,3,3,3,Sí
46,Masculino,7.18,3,1,3,8,Sí
47,Masculino,6.36,3,1,6,10,Sí
48,Femenino,6.48,4,1,1,2,No
49,Masculino,7.3,2,2,2,9,Sí
50,Masculino,6.62,3,3,1,3,No
51,Femenino,7.04,1,2,2,5,Sí
52,Masculino,4.58,1,2,3,10,Sí
53,Femenino,5.76,5,3,3,8,Sí
54,Masculino,8.34,4,2,2,2,Sí
55,Femenino,6.78,4,4,1,6,No
56,Masculino,4.96,3,4,4,5,Sí
57,Masculino,5.62,2,1,1,10,No
58,Femenino,5.71,2,2,2,9,No
59,Femenino,6.91,2,1,2,5,No
60,Femenino,6.32,3,2,2,2,Sí
61,Femenino,6.07,4,3,0,5,Sí
62,Femenino,6.8,4,2,4,4,Sí
63,Femenino,7.33,2,4,1,7,No
64,Femenino,6.52,5,3,0,6,No
65,Femenino,6.17,4,4,2,2,Sí
66,Masculino,6.34,3,1,2,5,No
67,Masculino,7.17,4,1,3,7,Sí
