edad,visitas_mes,tiempo_sitio,productos_vistos,clics_ofertas,historial_compras,descuento_promedio,sexo,dispositivo,region,miembro_premium,monto_compra
56,55,19.25,30,9,24,0.269,Masculino,Desktop,Norte,Sí,462.84
69,22,13.62,38,8,17,0.085,Masculino,Móvil,Sur,No,317.33
46,46,12.36,4,14,24,0.235,Femenino,Móvil,Sur,Sí,432.66
32,30,12.33,1,7,6,0.033,Masculino,Desktop,Centro,No,195.35
60,38,10.97,8,4,23,0.09,Masculino,Móvil,Centro,No,311.77
25,38,16.73,29,10,14,0.276,Masculino,Móvil,Norte,No,336.92
38,45,,39,1,10,0.303,Masculino,Móvil,Centro,Sí,383.93
56,51,6.57,3,14,17,0.213,Masculino,Desktop,Sur,Sí,402.39
36,54,5.67,32,5,22,0.177,Femenino,Móvil,Sur,Sí,398.92
40,8,12.32,10,7,11,0.056,Femenino,Desktop,Centro,No,192.03
28,27,16.24,10,4,5,0.022,Masculino,Tablet,Centro,No,201.22
28,27,12.95,19,15,19,0.041,Masculino,Móvil,Centro,Sí,331.77
41,34,10.73,34,17,22,0.08,Femenino,Móvil,Centro,No,336.69
53,21,13.83,33,5,12,0.12,Masculino,Móvil,Norte,No,264.72
57,30,12.74,23,4,19,0.133,Femenino,Desktop,Centro,Sí,389.77
41,33,15.3,28,15,15,0.121,Masculino,Móvil,Norte,No,321.38
20,28,17.31,32,12,17,0.084,Masculino,Móvil,Sur,No,334.11
39,47,8.18,7,4,9,0.178,Masculino,Móvil,Centro,Sí,308.54
19,33,,29,12,22,0.289,Masculino,Desktop,Norte,Sí,374.29
41,5,10.59,8,16,7,0.098,Masculino,Móvil,Centro,No,206.17
61,48,7.92,1,17,17,0.33,Masculino,Desktop,Sur,No,348.12
47,19,15.33,3,7,20,0.306,Masculino,Tablet,Sur,No,309.99
55,4,9.1,24,12,0,0.057,Femenino,Móvil,Sur,No,205.13
19,35,4.5,23,2,22,0.275,Femenino,Desktop,Centro,Sí,352.89
38,49,9.7,8,7,7,0.201,Femenino,Móvil,Centro,Sí,305.53
50,17,6.03,37,1,5,0.198,Masculino,Desktop,Norte,No,268.71
29,44,18.36,3,7,4,0.137,Masculino,Desktop,Sur,Sí,290.86
39,28,13.89,33,12,14,0.175,Masculino,Desktop,Centro,Sí,352.36
61,30,14.59,28,12,21,0.139,Masculino,Móvil,Sur,No,360.78
42,29,14.14,8,0,14,0.189,Masculino,Móvil,Sur,No,273.06
66,46,15.36,34,5,1,0.22,Masculino,Móvil,Norte,No,284.29
44,53,16.53,35,15,0,0.236,Masculino,Móvil,Norte,No,342.02
59,6,9.84,32,7,22,,Femenino,Móvil,Norte,Sí,353.22
45,35,6.32,24,0,22,0.252,Masculino,Móvil,Norte,No,310.32
33,41,8.61,14,15,10,0.049,Femenino,Móvil,Sur,Sí,313.99
32,37,11.82,32,8,9,0.074,Femenino,Móvil,Norte,No,280.72
64,24,2.0,43,12,17,0.287,Masculino,Desktop,Norte,No,390.93
68,29,16.57,16,10,17,0.113,Masculino,Móvil,Norte,No,312.04
61,49,4.41,4,12,16,0.008,Femenino,Móvil,Norte,No,296.42
69,46,14.4,37,9,7,0.054,Femenino,Móvil,Sur,No,703.915
20,53,,21,3,14,0.078,Masculino,Móvil,Norte,Sí,285.36
54,31,13.14,14,5,7,0.335,Masculino,Tablet,Sur,No,251.62
68,35,10.11,31,6,16,0.201,Femenino,Móvil,Centro,No,347.95
24,33,12.87,18,4,11,0.326,Masculino,Desktop,Sur,Sí,332.66
38,52,10.11,7,10,7,0.201,Masculino,Tablet,Sur,No,271.97
26,21,9.78,10,12,24,0.168,Masculino,Desktop,Norte,No,267.56
56,32,8.41,7,9,13,0.11,Femenino,Desktop,Centro,Sí,296.15
35,23,18.1,33,9,3,0.212,Femenino,Desktop,Centro,No,282.41
21,33,13.47,23,10,0,,Femenino,Tablet,Centro,No,221.64
42,3,12.84,21,6,0,0.314,Masculino,Desktop,Centro,No,216.97
31,18,8.5,19,17,18,0.29,Masculino,Desktop,Sur,No,320.98
67,25,11.06,19,3,15,0.111,Femenino,Desktop,Centro,No,283.03
26,42,8.05,36,1,13,0.333,Femenino,Móvil,Sur,No,343.78
43,31,10.04,29,13,20,0.289,Femenino,Desktop,Sur,No,349.37
19,54,7.16,18,12,15,0.233,Masculino,Móvil,Sur,Sí,339.81
37,58,18.36,2,11,4,0.043,Femenino,Móvil,Centro,No,262.35
45,3,8.97,1,6,8,0.167,Femenino,Móvil,Norte,No,184.51
64,40,8.5,5,1,1,0.177,Masculino,Móvil,Norte,Sí,238.68
24,46,6.7,20,12,17,0.081,Masculino,Móvil,Centro,No,292.33
61,24,8.92,11,13,5,0.028,Masculino,Móvil,Norte,No,223.53
25,50,10.02,42,16,8,0.272,Femenino,Desktop,Norte,Sí,380.4
64,32,11.8,2,8,0,0.043,Masculino,Móvil,Sur,No,209.39
52,47,9.42,3,16,8,0.208,Masculino,Desktop,Sur,No,290.64
31,22,5.6,23,7,24,0.328,Femenino,Móvil,Centro,No,294.8
34,23,5.94,12,1,15,0.307,Masculino,Móvil,Centro,Sí,285.3
53,2,14.72,20,12,12,0.097,Femenino,Desktop,Norte,Sí,261.42
67,27,11.51,5,2,8,0.298,Femenino,Desktop,Sur,No,238.36
57,42,14.6,37,15,20,,Masculino,Móvil,Centro,No,376.52
21,2,15.12,38,5,12,0.006,Masculino,Desktop,Centro,Sí,273.98
19,26,,30,6,8,0.211,Masculino,Desktop,Centro,No,256.39
23,17,,9,9,10,0.128,Masculino,Móvil,Centro,Sí,216.99
59,40,12.76,34,8,3,0.135,Masculino,Móvil,Centro,Sí,343.57
21,33,17.6,44,1,1,0.198,Masculino,Tablet,Centro,No,237.85
46,9,10.21,35,14,5,0.067,Femenino,Desktop,Norte,No,214.81
35,43,13.36,22,4,13,0.074,Femenino,Móvil,Sur,Sí,328.14
43,54,11.94,44,3,3,0.17,Masculino,Desktop,Sur,No,318.52
61,48,17.49,24,3,5,0.264,Femenino,Móvil,Centro,Sí,381.05
51,39,9.29,17,17,18,0.217,Masculino,Móvil,Sur,No,308.23
27,29,16.61,10,3,5,0.104,Femenino,Móvil,Sur,No,185.69
53,42,10.5,30,16,1,0.151,Femenino,Desktop,Sur,Sí,337.47
31,55,9.22,23,11,17,0.06,Femenino,Desktop,Centro,Sí,372.78
48,26,12.44,32,16,12,0.026,Masculino,Desktop,Centro,No,316.95
65,35,13.37,17,9,8,0.274,Femenino,Móvil,Sur,No,316.64
32,50,19.65,17,0,22,0.093,Masculino,Móvil,Sur,No,337.55
25,25,13.28,14,17,18,0.062,Femenino,Móvil,Centro,Sí,306.88
31,24,12.77,9,17,12,0.242,Femenino,Desktop,Norte,No,321.68
40,13,18.38,40,13,10,0.216,Femenino,Móvil,Sur,No,287.81
57,58,14.4,2,14,0,0.222,Femenino,Móvil,Norte,No,305.95
38,7,9.42,25,11,23,0.08,Femenino,Desktop,Sur,No,264.69
33,57,17.42,39,3,21,0.081,Masculino,Móvil,Norte,No,382.64
62,36,9.04,9,2,6,0.077,Masculino,Tablet,Norte,No,207.58
35,45,9.4,22,11,24,0.061,Femenino,Móvil,Norte,No,346.02
64,20,8.61,43,6,20,0.23,Femenino,Desktop,Centro,No,355.67
41,1,8.26,4,10,14,0.297,Femenino,Móvil,Norte,No,259.34
43,8,13.33,26,0,0,0.254,Femenino,Tablet,Norte,Sí,227.74
42,46,10.97,29,5,11,0.277,Masculino,Móvil,Norte,No,332.55
62,16,2.0,34,14,6,0.142,Femenino,Móvil,Sur,No,230.27
58,14,10.93,23,14,14,0.229,Masculino,Móvil,Norte,No,294.39
46,12,9.93,37,10,20,0.124,Femenino,Móvil,Sur,Sí,334.79
32,51,15.57,11,1,18,0.184,Masculino,Móvil,Norte,Sí,324.54
62,23,9.75,6,13,24,0.169,Femenino,Tablet,Norte,No,294.92
18,15,22.16,18,1,0,0.062,Femenino,Móvil,Centro,Sí,218.74
42,28,17.59,21,3,16,0.135,Masculino,Desktop,Sur,No,302.34
24,34,10.44,42,16,16,0.337,Femenino,Desktop,Norte,Sí,399.26
26,2,16.6,36,2,2,0.087,Femenino,Desktop,Sur,Sí,213.31
41,32,14.1,41,12,11,0.047,Femenino,Móvil,Sur,Sí,324.08
18,23,12.93,38,8,5,0.147,Masculino,Móvil,Centro,Sí,636.1339999999999
61,22,15.21,34,6,10,0.277,Femenino,Desktop,Centro,No,337.58
25,51,12.22,17,14,2,0.204,Femenino,Tablet,Centro,Sí,274.61
41,25,12.96,37,10,7,0.238,Masculino,Móvil,Centro,No,317.91
28,58,15.29,25,1,13,0.066,Masculino,Móvil,Centro,No,326.74
68,22,20.21,38,14,13,0.217,Masculino,Móvil,Centro,No,325.31
34,58,,12,13,9,0.113,Femenino,Tablet,Centro,No,323.64
25,58,10.18,23,10,1,0.292,Femenino,Móvil,Centro,No,312.45
52,22,3.88,42,2,13,0.22,Femenino,Móvil,Norte,No,276.88
52,49,19.85,22,16,8,0.07,Masculino,Desktop,Sur,Sí,359.08
50,52,10.95,21,11,2,0.023,Femenino,Móvil,Centro,No,281.28
22,42,14.14,27,14,20,0.015,Femenino,Móvil,Centro,No,315.79
59,6,19.62,31,15,7,0.13,Masculino,Desktop,Sur,No,695.2209999999999
56,15,12.91,6,4,15,0.093,Masculino,Tablet,Norte,No,276.81
58,54,11.22,27,5,1,0.226,Masculino,Móvil,Sur,No,305.04
45,43,,40,4,5,0.175,Masculino,Móvil,Sur,No,296.43
24,37,13.84,34,2,20,0.093,Masculino,Móvil,Centro,No,299.81
26,33,14.34,12,0,24,0.052,Femenino,Móvil,Sur,No,261.49
25,8,5.91,7,5,11,0.045,Masculino,Desktop,Sur,Sí,207.12
29,53,16.82,10,14,4,0.303,Femenino,Móvil,Centro,No,301.1
51,44,13.5,17,1,1,0.085,Femenino,Móvil,Centro,Sí,260.64
50,44,6.51,26,2,15,0.228,Masculino,Móvil,Centro,Sí,322.38
65,5,13.94,21,16,4,0.284,Masculino,Desktop,Centro,No,279.0
40,39,3.75,28,11,14,0.215,Masculino,Móvil,Sur,Sí,340.57
41,4,21.37,2,17,11,0.301,Femenino,Desktop,Sur,Sí,276.8
54,6,7.59,43,14,3,0.137,Masculino,Móvil,Norte,Sí,275.89
52,45,18.45,1,11,14,0.335,Masculino,Desktop,Norte,No,365.95
61,32,8.75,36,15,10,0.047,Masculino,Desktop,Sur,No,297.01
57,52,14.24,26,7,15,0.036,Masculino,Móvil,Norte,No,370.32
39,30,8.35,29,13,22,0.231,Masculino,Móvil,Sur,No,360.07
44,47,15.99,21,16,5,0.33,Femenino,Móvil,Norte,No,325.43
52,35,11.06,11,7,13,0.283,Femenino,Móvil,Centro,Sí,353.74
18,55,13.87,40,14,17,0.027,Femenino,Móvil,Norte,No,369.2
52,40,12.06,11,13,11,0.098,Masculino,Móvil,Centro,No,291.47
54,52,6.54,36,17,10,0.326,Masculino,Móvil,Centro,No,383.14
64,16,14.02,39,6,12,0.089,Masculino,Desktop,Centro,Sí,340.29
31,13,9.99,40,2,20,0.273,Femenino,Móvil,Centro,No,259.93
20,50,16.18,35,11,22,0.289,Masculino,Desktop,Norte,No,409.3
18,42,11.06,34,2,10,0.173,Masculino,Móvil,Sur,Sí,303.69
22,30,11.69,24,13,22,0.135,Masculino,Desktop,Centro,No,351.8
43,19,18.73,22,14,15,0.158,Femenino,Desktop,Norte,Sí,363.01
31,17,21.53,5,13,14,0.079,Masculino,Móvil,Centro,Sí,289.63
56,56,15.14,33,6,20,0.311,Femenino,Desktop,Norte,No,431.27
44,19,10.85,36,16,14,0.158,Masculino,Móvil,Norte,Sí,359.53
26,28,10.5,20,11,24,0.309,Femenino,Móvil,Norte,No,335.98
32,58,8.73,19,3,3,0.037,Femenino,Tablet,Sur,No,221.91
32,55,9.5,35,8,10,0.346,Femenino,Móvil,Norte,Sí,381.5
43,26,,43,5,18,0.155,Masculino,Móvil,Norte,No,333.56
59,37,19.86,17,15,14,0.017,Masculino,Desktop,Sur,Sí,382.29
30,26,11.21,43,1,3,0.013,Femenino,Desktop,Sur,Sí,255.17
68,53,7.1,34,7,20,0.261,Femenino,Desktop,Norte,Sí,445.87
49,23,12.17,9,10,12,0.231,Masculino,Móvil,Sur,Sí,298.88
56,9,12.71,26,12,21,0.281,Masculino,Desktop,Centro,Sí,375.92
66,12,12.14,2,16,18,0.037,Femenino,Móvil,Centro,No,252.95
69,53,15.2,9,7,1,0.012,Masculino,Desktop,Sur,No,269.37
49,1,12.28,9,17,13,0.178,Masculino,Tablet,Sur,Sí,306.15
21,58,15.07,40,17,3,0.136,Masculino,Desktop,Norte,No,319.66
47,58,8.88,17,13,15,0.162,Masculino,Desktop,Sur,No,343.12
54,1,19.12,1,14,20,0.347,Femenino,Móvil,Norte,No,291.89
40,47,13.01,25,5,19,0.34,Masculino,Desktop,Centro,No,356.21
56,34,13.6,43,10,13,0.33,Masculino,Desktop,Sur,Sí,417.93
62,32,8.86,40,12,14,0.274,Femenino,Móvil,Norte,Sí,379.82
32,54,13.89,42,0,2,0.124,Femenino,Desktop,Norte,No,323.7
60,48,14.6,25,5,7,0.144,Masculino,Móvil,Centro,No,304.91
46,25,7.32,39,8,15,0.192,Masculino,Desktop,Sur,Sí,372.26
53,40,5.36,35,7,9,0.291,Masculino,Desktop,Centro,No,342.91
30,45,13.17,3,10,3,0.024,Masculino,Desktop,Norte,No,224.53
49,53,10.04,37,8,17,0.149,Femenino,Móvil,Norte,No,399.56
24,1,13.04,44,16,1,0.029,Femenino,Desktop,Sur,No,212.97
68,16,6.84,44,11,16,,Femenino,Móvil,Norte,No,347.83
39,39,5.76,30,13,12,0.315,Masculino,Tablet,Sur,No,350.4
45,5,12.83,38,14,3,0.274,Masculino,Móvil,Centro,No,268.11
