,edad,visitas_mes,tiempo_sitio,productos_vistos,clics_ofertas,historial_compras,descuento_promedio,sexo,dispositivo,region,miembro_premium,monto_compra
count,350.0,350.0,340.0,350.0,350.0,350.0,342.0,350,350,350,350,350.0
unique,,,,,,,,2,3,3,2,
top,,,,,,,,Masculino,Móvil,Norte,No,
freq,,,,,,,,193,200,125,227,
mean,43.39142857142857,31.51142857142857,12.325,23.062857142857144,8.59142857142857,11.765714285714285,0.17360526315789476,,,,,313.6210828571429
std,15.190610722212407,16.331404370934393,4.356490529602156,12.705234029959371,5.174483982609991,7.160619094792867,0.10020254722686274,,,,,80.05633084781904
min,18.0,1.0,2.0,1.0,0.0,0.0,0.001,,,,,141.64
25%,31.0,19.0,9.395,12.0,4.0,6.0,0.08025,,,,,272.49
50%,43.0,32.0,12.495000000000001,23.0,9.0,12.0,0.1755,,,,,310.42499999999995
75%,56.0,46.0,15.125,34.0,13.0,17.75,0.261,,,,,347.0975
max,69.0,59.0,24.7,44.0,17.0,24.0,0.347,,,,,868.8709999999999
