TSNE_1,TSNE_2,diagnostico
3.5284386,-6.8279047,0
-3.5602787,-1.1732941,2
1.5323184,3.7859075,1
1.7288592,5.041591,0
-2.8714623,7.3281784,1
-5.264872,5.7047596,1
5.748594,4.015397,1
-0.4786601,-2.3651106,2
-1.5816956,9.816821,1
4.3615522,1.4696356,1
1.623419,-7.4979076,1
-5.461382,2.3129299,1
2.187272,-4.7543206,0
10.089308,-0.710632,2
2.5979424,-1.3679787,0
10.600053,4.003151,2
0.9991403,2.4027297,1
-3.6057389,1.4069427,0
4.8213973,-5.7781777,0
-3.1347044,3.334959,2
3.762863,6.618637,1
1.8308582,1.0505158,0
5.7109866,-5.684599,0
-1.723481,3.381719,1
3.5679097,8.181206,1
-0.020398047,0.95637304,2
-3.7855585,2.0442383,2
-4.540994,-5.5889354,1
1.9001287,-5.9291406,0
7.177379,-4.7817874,0
-6.7058635,-6.4033155,2
2.850062,-2.575633,0
2.888684,-2.3387468,0
0.36743772,6.79172,1
5.282524,-4.198771,0
0.19951922,-3.2386715,0
3.1154828,9.94479,2
2.9349954,7.0911818,1
-8.154291,-1.8252087,0
3.1839602,-8.184851,0
-5.9436436,5.998973,1
-6.7305837,-0.105267644,0
4.304458,-2.8387468,0
-4.320188,-2.9464061,2
8.60888,0.17744693,2
-4.948775,-8.080431,2
-1.386337,1.126542,1
-4.351599,-4.5488544,2
5.6872225,-0.782899,0
5.835989,-9.088071,0
0.06177709,3.2818263,2
-2.964254,7.5247746,1
4.367535,2.688243,1
7.122154,6.834612,1
-2.0880682,1.6688762,2
-3.5430481,1.3283501,1
1.0061177,1.1283045,1
-1.8068253,5.571474,1
-5.8210917,-1.6738529,0
4.567038,-6.586787,0
3.8307934,5.627466,1
-7.2759495,4.397325,2
1.9409109,8.097774,1
3.2699919,1.5549036,1
-1.9984273,9.248153,1
-1.6713281,6.44416,1
-8.183796,-6.1525164,2
8.213214,-7.508432,0
-7.1597977,-1.5725553,0
6.462122,-3.4465575,0
10.23852,1.3531132,0
-3.793556,-7.713574,2
6.3761044,1.4090546,2
5.0539885,-4.7457647,0
1.5303768,0.7084071,0
-3.8228881,-3.7797434,2
-4.710758,7.822453,1
4.6388206,0.5202659,0
8.695762,-6.806358,0
-2.9334655,-3.020335,2
-2.280379,-1.3477049,2
-1.1461536,8.165406,1
-1.3942785,4.2605834,2
3.4567168,10.860273,2
2.9441543,-4.5451803,0
-1.793462,5.6295543,1
2.5775928,4.776447,1
4.131355,-3.9233317,0
