TSNE_1,TSNE_2,segmento_cliente
7.326699,6.8878326,2
3.7732136,-3.4679499,0
-8.769735,1.323912,2
-0.3649129,3.033747,1
6.0752697,-1.1312413,0
3.866589,-9.62129,1
3.6641417,-1.004749,0
-2.132746,-3.9472814,0
9.283976,2.695534,1
-9.192415,-2.0219736,2
-0.26094142,-0.04829282,2
4.7736974,3.5039299,1
-3.2313685,2.8576536,2
-8.930603,-3.3947792,2
2.934621,1.3396027,0
-7.0100937,2.4833336,0
-0.6415665,-3.8401859,1
-6.8803563,5.050196,1
-3.4115043,-5.685077,2
-7.6102757,-1.8756522,2
-10.569169,4.7258015,2
12.550928,-2.3443599,1
-6.018484,-2.0541568,2
-2.7666082,3.9701946,1
7.4279733,-6.2940807,1
0.7971793,4.5410523,0
2.2508137,5.9620776,1
0.07606036,-7.1380677,0
6.9184012,-3.1544204,1
-2.5393734,-7.3789725,1
8.948344,1.8769939,1
-5.715989,-2.944286,2
-3.690909,-1.3974752,2
4.5391965,2.3093374,1
-1.246932,9.109361,0
12.25664,-2.4963806,1
4.9853525,-4.1486397,0
-7.0960226,5.038103,2
-6.759889,4.168558,2
-2.2500188,-5.1212354,1
4.20582,-0.12106,0
-10.375305,1.4284583,2
3.6939545,-1.3352615,1
-2.0629807,-0.504739,2
4.485889,6.5252748,1
-3.988224,9.0075865,0
-0.75917935,10.2905,0
3.269592,-4.839617,0
-0.2658475,2.4786944,1
-0.8118821,1.4040171,0
5.236955,-5.0919304,0
4.8936176,-0.9729183,1
4.3765335,-2.8500412,0
4.66634,3.1659436,1
1.7867281,2.9221985,0
7.254892,5.588634,1
7.2385936,-8.642127,0
-7.4752884,0.15978493,2
10.905517,-3.2468936,1
-3.2369177,-1.6317114,2
-9.237326,2.784706,2
-0.63631535,-0.74704856,1
-3.5677865,9.251663,0
5.92661,-2.362879,0
-0.7891634,6.978268,0
-5.2502813,1.7821863,2
4.0140395,-4.996556,0
8.733838,-6.073976,1
-0.2062287,7.7447643,0
-1.1684947,-2.1170115,1
7.284173,5.656341,1
1.4305204,-0.7343476,0
-0.38303405,-10.522731,0
-2.7383292,2.4638345,1
-4.5198426,8.53561,0
0.6500406,-5.2290998,0
4.8019147,1.9485509,1
-7.513837,-0.17032377,2
8.12841,-4.057024,1
-8.654761,-2.2646422,2
-0.22412907,8.223944,0
10.509051,0.6304408,1
5.866058,-7.3721566,1
1.3395456,-2.4045649,0
-1.9936726,5.614336,2
-0.3364732,-6.9204884,0
-1.0278041,5.2634554,2
6.8666754,-1.0385182,0
-0.072948165,-8.229931,2
-3.2536042,5.3117304,2
-10.901663,1.6885382,2
-9.2588005,-3.2373638,2
7.2544804,-3.5502107,1
-8.370975,4.022076,2
-6.282245,0.57874006,2
5.3620806,0.3168409,1
-4.9823523,4.131302,2
-3.849425,1.0283368,2
0.037317492,-3.1408868,1
-5.2049503,-3.586984,2
-10.846456,4.566901,2
3.0752773,-1.8209128,0
-1.4577835,3.6631215,0
-0.7014852,-7.431631,0
2.7320168,-4.666233,0
3.783467,0.6630622,0
-1.1807835,0.7017404,0
-9.508737,3.323149,2
7.440409,-4.333344,1
-4.8837223,-4.8080955,2
7.256819,-1.0874327,0
8.381997,-5.604758,1
-9.658861,-4.1510777,2
-5.4015627,3.1620286,2
2.004163,-2.9952593,0
-3.312776,7.490996,0
5.5344954,-8.64387,1
1.4737021,1.7919981,1
1.8277899,0.53422004,0
1.7937763,-3.2676435,0
-3.3523207,4.350157,2
-5.397171,-3.7408488,2
-9.018608,1.6963235,2
3.3726177,-6.784516,1
-5.127023,-8.537428,0
-1.78058,0.12024848,1
5.44669,-2.881952,1
10.154598,-5.541883,1
-0.30598962,-1.6141262,1
-2.008538,1.9283915,1
3.6262765,-9.676609,1
6.996887,3.8343928,1
-2.60121,-3.5256457,0
-6.647503,-5.738865,2
2.376463,0.09793334,0
-1.3874856,4.0514684,0
-6.9999423,-2.834752,2
-7.30654,2.5013204,2
-5.3670235,1.6203234,2
0.24472739,0.4893248,0
-3.855767,5.6591983,2
-0.84348375,2.616334,1
-0.84886336,-10.685691,0
-5.089349,5.398316,2
0.5536162,4.923005,0
6.0063424,-2.872137,0
0.5192117,6.764582,0
-7.9497538,8.677326,2
3.406982,3.356127,1
-6.8220654,1.3892787,2
-3.3010938,11.425261,1
5.934629,5.633341,1
3.7292945,-6.4179235,0
-4.2801404,0.83582884,2
-5.5578136,7.9285364,0
5.9042635,-5.134176,1
-5.9976482,-0.7786617,2
-9.613638,5.015824,2
-7.101865,-1.0116726,2
6.517306,-6.4479327,1
-11.087004,1.8473507,2
-8.417617,6.196881,2
-5.1756196,-5.5105734,1
6.54771,-4.959155,1
1.9374257,-4.5421085,0
-9.267789,0.25630006,0
-8.789188,1.463377,2
2.0952408,4.987321,1
7.978884,-1.4863477,0
3.7177575,5.184195,1
-3.5667384,-6.7569003,2
-0.7871925,-5.177687,0
-5.1646194,-6.8440733,1
3.5012646,-1.1217327,1
-6.710743,-3.4528382,2
2.5108454,-4.9045925,1
5.5061803,-6.369138,1
8.769242,5.1437116,1
8.043879,1.5395792,1
-1.8486876,-1.7677845,2
-4.5745864,-4.8719277,2
2.977939,-2.6120632,0
1.0185364,-2.0102232,0
3.9696097,8.082205,1
1.7942327,-6.6234083,1
-4.0782065,-3.2491267,0
-4.222117,-0.17751035,2
4.4334383,6.5134487,1
-3.3721397,7.5407987,0
-0.7672711,-5.0108466,0
-6.3293133,-4.332488,0
10.414559,-4.539508,1
-0.47049183,2.934744,1
-5.714775,3.1258683,2
-1.8620068,2.3790698,1
-4.520296,-1.8201795,2
-4.3552456,-3.0823016,2
-5.303128,0.22760403,2
3.2591782,-0.39666063,0
7.0660934,3.23226,1
11.093482,-2.28462,1
5.246106,6.7405524,1
-11.107904,-2.3307288,2
8.648036,0.10969231,0
-2.5666652,-2.4314313,2
1.7510024,-0.7569524,0
3.0113375,-10.562785,1
8.725799,-4.17824,1
-1.9464915,5.4935436,1
-2.4384098,-7.442889,0
7.1018877,2.4513955,1
0.9409966,-4.630538,1
7.8833437,3.0364974,1
-2.005904,-0.7232986,2
-9.432714,-1.189981,2
3.1270332,-2.6477878,0
1.5805371,-3.6074898,1
3.7871635,8.22941,2
-2.2466235,8.275376,0
-5.483443,1.5246623,2
-6.8134117,1.5829016,2
-7.643325,-1.1493484,2
7.6867456,-5.291302,1
0.7693326,0.060436,0
-5.339908,4.371673,2
-3.9012663,-0.12149901,2
-5.5101523,7.7077017,0
-4.4370456,1.6881913,2
5.877776,-7.4591784,1
1.8405223,-1.748037,0
-10.7734,-2.3131425,2
-8.809135,-1.8272258,2
-7.4789677,-2.9930756,2
3.2838442,9.167584,2
-7.560104,2.8482873,2
0.17456327,1.2372514,0
-7.7929144,-6.1077037,2
8.759766,1.9300417,1
-4.096797,2.382999,2
-8.5071125,-0.2745773,2
0.46494284,8.528152,0
-1.250456,-2.437493,1
1.2429434,3.7361042,0
-6.321009,2.3449297,2
4.6967144,-1.8202437,0
1.6044483,10.086193,0
8.404632,-2.511024,1
-1.1871337,6.435071,0
2.5338473,-5.816851,0
-7.9222646,-6.0000353,1
7.6329126,-8.306006,0
0.7542961,-3.7738688,0
2.7477806,1.6890604,0
-3.545268,-1.2945142,1
6.625336,1.9380386,0
-5.4349847,10.277559,0
0.5204085,-2.6861436,1
0.5829045,5.166594,1
-0.0065582646,-2.8338895,1
-2.123591,-1.4063753,2
-4.185732,3.5999331,1
10.567364,-3.9931388,1
-3.4825659,-9.297154,0
-5.7061267,7.3235183,0
3.2827656,3.5234582,1
-4.3653116,6.4938045,0
-2.8366444,0.8484822,2
-2.6835954,0.9406341,2
5.3863597,0.7399996,1
7.950171,0.31798723,1
-7.5121684,-7.2399564,1
-6.813689,-2.2237744,2
7.273062,2.1872647,1
-11.407619,-0.012178743,2
3.0488694,-3.5186985,2
-5.5652375,0.16455635,2
-0.8413335,10.45106,0
-7.344439,0.88905215,2
8.712484,-1.6152377,0
-4.028044,-1.4760667,1
